TARGETID,BRICKNAME,removed_objids,added_objids,n_sources_changed,verdict,inspected,comment,toggle_disabled,infill_masked,timestamp,inspector
39627255994910502,0866m225,,,0,remove,1,,0,1,2026-06-25T03:34:52Z,
39627340401087749,0570m187,,,0,remove,1,,0,1,2026-06-25T03:35:59Z,
39627346235365896,0635m185,,,0,remove,1,,0,1,2026-06-25T03:34:44Z,
39627351293690269,0208m182,,,0,accept,1,,0,1,2026-06-25T03:34:58Z,
39627351310472990,0219m182,,,0,unsure,1,,0,1,2026-06-25T03:35:31Z,
39627351843146112,0553m182,,,0,accept,1,,0,1,2026-06-25T03:34:35Z,
39627380226004826,0280m170,,,0,remove,1,merger,0,1,2026-06-25T03:34:31Z,
39627385888317457,0207m167,,,0,accept,1,,0,1,2026-06-25T03:36:00Z,
39627385984778462,0267m167,0,,1,accept,1,,0,1,2026-06-25T03:35:40Z,
39627392326573946,0610m165,0;7,,2,accept,1,,0,1,2026-06-25T03:34:21Z,
39627403282095298,0209m160,,,0,accept,1,,0,1,2026-06-25T03:34:33Z,
39627403282095365,0209m160,,,0,accept,1,,0,1,2026-06-25T03:34:36Z,
39627403688938698,0461m160,,,0,accept,1,,0,1,2026-06-25T03:36:29Z,
39627409678405366,0569m157,1;5;7;8,,4,accept,1,,0,1,2026-06-25T03:42:01Z,
39627421414069413,0619m152,,,0,unsure,1,,0,1,2026-06-25T03:36:09Z,
39627426581450605,0205m150,13,,1,accept,1,,0,1,2026-06-25T03:36:50Z,
39627426979909077,0451m150,,,0,accept,1,,0,1,2026-06-25T03:36:14Z,
39627427302872186,0650m150,,,0,accept,1,,0,1,2026-06-25T03:36:16Z,
39627432436701835,0215m147,,,0,remove,1,merger,0,1,2026-06-25T03:36:35Z,
39627433078427815,0610m147,0,,1,accept,1,,0,1,2026-06-25T03:37:33Z,
39627433078427936,0610m147,0,,1,accept,1,,0,1,2026-06-25T03:37:23Z,
39627438275171518,0210m145,3;14;17,,3,unsure,1,,0,1,2026-06-25T03:37:16Z,
39627438308729430,0230m145,18,,1,unsure,1,,0,1,2026-06-25T03:39:39Z,
39627444415627484,0384m142,,,0,accept,1,,0,1,2026-06-25T03:39:04Z,
39627444558238904,0472m142,,,0,remove,1,,0,1,2026-06-25T03:41:21Z,
39627450287655780,0390m140,,,0,accept,1,,0,1,2026-06-25T03:42:15Z,
39627467643688789,0229m132,11,,1,accept,1,,0,1,2026-06-25T03:39:56Z,
39627467773708413,0308m132,,,0,accept,1,,0,1,2026-06-25T03:39:44Z,
39627468348330752,0660m132,,,0,accept,1,,0,1,2026-06-25T03:40:23Z,
39627472433579186,3157m132,,,0,accept,1,,0,1,2026-06-25T03:40:25Z,
39627473553465972,0242m130,,,0,accept,1,,0,1,2026-06-25T03:40:29Z,
39627479656170955,0372m127,,,0,accept,1,,0,1,2026-06-25T03:40:31Z,
39627485666611961,0441m125,,,0,accept,1,,0,1,2026-06-25T03:37:36Z,
39627485700163485,0461m125,,,0,accept,1,,0,1,2026-06-25T03:38:03Z,
39627486027320658,0660m125,8,,1,accept,1,,0,1,2026-06-25T03:37:44Z,
