name,host,survey,m_g,g_r,converted_from_gi,dist_mpc,dist_sbf_mpc
NGC247,NGC253,ELVES (Carlsten+22),9.44,0.47999999999999865,False,3.56,
dw0047m2623,NGC253,ELVES (Carlsten+22),18.89,0.5600000000000023,False,3.56,
dw0049m2100,NGC253,ELVES (Carlsten+22),15.07,0.17999999999999972,False,3.56,
dw0050m2444,NGC253,ELVES (Carlsten+22),18.22,0.2699999999999996,False,3.56,
dw0055m2309,NGC253,ELVES (Carlsten+22),17.49,0.34999999999999787,False,3.56,
dw0132p1422,NGC628,ELVES (Carlsten+22),16.05,0.20000000000000107,False,9.77,
dw0133p1543,NGC628,ELVES (Carlsten+22),19.94,0.5600000000000023,False,9.77,9.18
dw0134p1544,NGC628,ELVES (Carlsten+22),17.57,0.5,False,9.77,10.5
dw0134p1438,NGC628,ELVES (Carlsten+22),17.06,0.1999999999999993,False,9.77,
dw0136p1628,NGC628,ELVES (Carlsten+22),17.75,0.5599999999999987,False,9.77,9.45
dw0137p1537,NGC628,ELVES (Carlsten+22),17.86,0.620000000000001,False,9.77,10.12
dw0137p1607,NGC628,ELVES (Carlsten+22),20.2,0.629999999999999,False,9.77,9.05
dw0138p1458,NGC628,ELVES (Carlsten+22),16.98,0.370000000000001,False,9.77,8.61
UGC1171,NGC628,ELVES (Carlsten+22),15.71,0.26000000000000156,False,9.77,10.13
dw0139p1433,NGC628,ELVES (Carlsten+22),17.89,0.3000000000000007,False,9.77,10.82
dw0140p1556,NGC628,ELVES (Carlsten+22),18.64,0.1700000000000017,False,9.77,11.78
UGC1176,NGC628,ELVES (Carlsten+22),14.24,0.3800000000000008,False,9.77,
dw0143p1541,NGC628,ELVES (Carlsten+22),15.75,0.40000000000000036,False,9.77,8.64
dw0221p4221,NGC891,ELVES (Carlsten+22),17.28,0.490000000000002,False,9.12,10.48
UGC1807,NGC891,ELVES (Carlsten+22),13.86,0.33999999999999986,False,9.12,
dw0222p4242,NGC891,ELVES (Carlsten+22),17.13,0.36999999999999744,False,9.12,10.28
dw0235p3850,NGC1023,ELVES (Carlsten+22),16.82,0.4196078431372545,True,10.4,11.69
IC239,NGC1023,ELVES (Carlsten+22),,,False,10.4,
dw0237p3855,NGC1023,ELVES (Carlsten+22),15.24,0.4784313725490203,True,10.4,7.06
dw0237p3836,NGC1023,ELVES (Carlsten+22),18.2,0.4392156862745102,True,10.4,10.57
dw0239p3926,NGC1023,ELVES (Carlsten+22),18.21,0.42614379084967385,True,10.4,10.85
dw0239p3903,NGC1023,ELVES (Carlsten+22),20.62,0.3934640522875819,True,10.4,8.63
dw0239p3902,NGC1023,ELVES (Carlsten+22),20.58,0.5568627450980371,True,10.4,11.51
UGC2157,NGC1023,ELVES (Carlsten+22),14.24,0.44575163398692835,True,10.4,
dw0240p3854,NGC1023,ELVES (Carlsten+22),16.78,0.288888888888889,True,10.4,11.21
dw0240p3903,NGC1023,ELVES (Carlsten+22),14.91,1.7725490196078428,True,10.4,
dw0240p3922,NGC1023,ELVES (Carlsten+22),16.68,0.1843137254901961,True,10.4,11.59
dw0241p3904,NGC1023,ELVES (Carlsten+22),15.56,0.288888888888889,True,10.4,12.4
UGC2165,NGC1023,ELVES (Carlsten+22),14.04,0.6026143790849665,True,10.4,10.75
dw0242p3838,NGC1023,ELVES (Carlsten+22),20.6,0.00784313725490224,True,10.4,9.86
dw0309m4104,NGC1291,ELVES (Carlsten+22),19.19,0.5500000000000007,False,9.08,8.74
dw0309m4101,NGC1291,ELVES (Carlsten+22),12.59,0.47000000000000064,False,9.08,
dw0310m4000,NGC1291,ELVES (Carlsten+22),15.61,0.20999999999999908,False,9.08,
dw0315m4040,NGC1291,ELVES (Carlsten+22),18.13,0.5700000000000003,False,9.08,7.81
dw0317m4142,NGC1291,ELVES (Carlsten+22),16.92,0.5800000000000018,False,9.08,9.03
dw0317m4058,NGC1291,ELVES (Carlsten+22),17.05,0.6500000000000021,False,9.08,7.08
dw0317m4141,NGC1291,ELVES (Carlsten+22),17.15,0.46999999999999886,False,9.08,10.39
dw0318m4101,NGC1291,ELVES (Carlsten+22),18.63,0.5799999999999983,False,9.08,8.1
dw0318m4211,NGC1291,ELVES (Carlsten+22),20.35,0.5300000000000011,False,9.08,7.32
dw0319m4126,NGC1291,ELVES (Carlsten+22),17.47,0.5999999999999979,False,9.08,8.33
dw0320m4048,NGC1291,ELVES (Carlsten+22),19.27,0.5500000000000007,False,9.08,7.04
