Table 4 
SBF Distances and Photometric Properties of Satellite Candidates


Name	R.A.	Decl.	D_SBF	(S/N)_SBF	Status	P_sat	R_proj	m_g	g - r	M_V	$\mathrm{log}{M}_{\star }$	r_eff	Completeness	
	(deg)	(deg)	(Mpc)				(R_vir)	(mag)	(mag)	(mag)	(M_sun)	(kpc)		
NGC 5238 (4.51 Mpc)														
														
dw1327p5141	201.7554	51.6859	>11.61	1.0	Rej.	0.0	1.29	19.08 +or- 0.11	0.39 +or- 0.05	-9.40 +or- 0.11	5.61 +or- 0.09	0.17 +or- 0.02	1.00	
dw1336p5108	204.0310	51.1464	>9.57	0.8	Rej.	0.0	0.56	19.07 +or- 0.11	0.64 +or- 0.05	-9.53 +or- 0.11	6.05 +or- 0.09	0.15 +or- 0.01	1.00	
														
UGC 00685 (4.81 Mpc)														
														
dw0110p1658	17.6234	16.9814	>12.21	-0.5	Rej.	0.0	0.89	20.23 +or- 0.15	0.61 +or- 0.07	-8.50 +or- 0.15	5.60 +or- 0.12	0.16 +or- 0.02	1.00	
dw0106p1616b	16.5218	16.2809	cdots	cdots	No Obs.	0.05	0.56	20.15 +or- 0.14	0.37 +or- 0.06	-8.41 +or- 0.15	5.18 +or- 0.12	0.10 +or- 0.01	0.95	
														
NGC 4605 (5.55 Mpc)														
														
dw1245p6158	191.4562	61.9695	$4.7{2}_{-0.61,1.23}^{+0.56,1.09}$	18.9	Conf.	1.0	0.58	18.08 +or- 0.10	0.61 +or- 0.04	-10.96 +or- 0.10	6.57 +or- 0.08	0.40 +or- 0.03	1.00	
dw1247p6021	191.8176	60.3597	>2.58	0.3	Unconf.	0.14	1.14	19.77 +or- 0.13	0.13 +or- 0.06	-9.03 +or- 0.13	5.04 +or- 0.11	0.11 +or- 0.01	0.98	
														
NGC 4707 (6.52 Mpc)														
														
dw1246p5136	191.7344	51.6128	$7.0{4}_{-0.84,1.49}^{+1.21,2.89}$	23.8	Conf.	1.0	0.72	13.49 +or- 0.10	0.26 +or- 0.04	-15.73 +or- 0.10	7.94 +or- 0.08	0.62 +or- 0.03	1.00	
dw1250p5056	192.7354	50.9346	$7.8{1}_{-1.31,2.27}^{+1.88,4.39}$	9.6	Conf.	1.0	0.67	18.88 +or- 0.11	0.18 +or- 0.05	-10.30 +or- 0.11	5.64 +or- 0.09	0.13 +or- 0.01	1.00	
dw1252p5038	193.2005	50.6484	>9.92	1.2	Rej.	0.0	1.25	19.77 +or- 0.13	0.47 +or- 0.06	-9.55 +or- 0.13	5.79 +or- 0.11	0.15 +or- 0.02	0.92	
dw1252p5109	192.9984	51.1519	>12.24	0.7	Rej.	0.0	0.82	20.55 +or- 0.16	0.42 +or- 0.08	-8.74 +or- 0.16	5.39 +or- 0.14	0.13 +or- 0.02	0.88	
dw1252p5116	193.0036	51.2782	$13.5{4}_{-1.86,3.29}^{+2.52,6.21}$	4.2	Rej.	0.0	0.84	19.09 +or- 0.11	0.38 +or- 0.05	-10.18 +or- 0.11	5.90 +or- 0.09	0.21 +or- 0.02	1.00	
														
UGC 05427 (7.69 Mpc)														
														
dw1006p2852	151.5974	28.8717	>12.63	0.2	Rej.	0.0	1.15	19.62 +or- 0.13	0.56 +or- 0.05	-10.10 +or- 0.13	6.15 +or- 0.10	0.31 +or- 0.03	1.00	
dw1003p2935	150.8486	29.5926	$12.1{4}_{-2.10,3.61}^{+2.89,7.00}$	5.9	Unconf.	0.09	0.67	20.18 +or- 0.14	0.22 +or- 0.06	-9.37 +or- 0.15	5.32 +or- 0.12	0.13 +or- 0.02	0.97	
dw1003p3004	150.8554	30.0721	cdots	cdots	No Obs.	0.67	1.41	19.04 +or- 0.11	0.39 +or- 0.05	-10.59 +or- 0.11	6.08 +or- 0.09	0.30 +or- 0.03	1.00	
														
UGC05423 (8.87 Mpc)														
														
dw1008p7038b	152.2005	70.6456	$10.6{3}_{-1.16,2.15}^{+1.49,3.35}$	36.8	Conf.	1.0	0.73	17.78 +or- 0.20	0.33 +or- 0.12	-12.08 +or- 0.21	6.61 +or- 0.22	0.45 +or- 0.03	1.00	
dw1009p7032	152.3942	70.5489	$9.1{3}_{-0.66,1.26}^{+0.76,1.59}$	14.4	Conf.	1.0	0.72	17.93 +or- 0.10	0.32 +or- 0.04	-11.98 +or- 0.10	6.52 +or- 0.08	0.55 +or- 0.04	1.00	
dw1008p7038	152.2106	70.6339	$14.6{2}_{-1.42,2.88}^{+1.54,3.30}$	51.5	Rej.	0.0	0.72	16.11 +or- 0.09	0.60 +or- 0.04	-13.94 +or- 0.09	7.75 +or- 0.07	0.80 +or- 0.04	1.00	
