dw0047m2623    NGC253   11.8939 -26.3898 >22.08      >21.15      MIS2DFSGP_30532_0143
dw0049m2100    NGC253   12.4537 -21.0167  16.74 0.05  16.97 0.05 GI1_009002_UGCA015
dw0055m2309    NGC253   13.7538 -23.1688  18.93 0.07  19.17 0.11 AIS_276_1_59
dw0133p1543    NGC628   23.4842  15.7314 >22.45      >22.38      AIS_183_1_66
dw0134p1544    NGC628   23.5537  15.7463  20.65 0.16 >22.37      GI3_050001_NGC628
dw0136p1628    NGC628   24.0842  16.4701  21.00 0.55 >21.68      AIS_183_1_65
dw0137p1537    NGC628   24.3236  15.6329  21.50 0.17 >22.97      NGA_NGC0628
dw0137p1607    NGC628   24.4156  16.1320 >22.58      >22.84      NGA_NGC0628
UGC1171        NGC628   24.9366  15.8993  17.94 0.05  18.39 0.05 GI1_047008_UGC01176
dw0139p1433    NGC628   24.9611  14.5563  19.35 0.05  19.47 0.05 MISDR2_17173_0426
dw0140p1556    NGC628   25.0395  15.9394  20.44 0.11  20.49 0.11 GI1_047008_UGC01176
UGC1176        NGC628   25.0430  15.9054  15.78 0.05  16.07 0.05 GI1_047008_UGC01176
dw0143p1541    NGC628   25.9012  15.6937  17.73 0.11  17.87 0.13 AIS_183_1_83
dw0221p4221    NGC891   35.3010  42.3640  20.71 0.08  22.34 0.42 GI2_019004_3C66B
UGC1807        NGC891   35.3058  42.7629  15.93 0.05  16.17 0.05 GI2_019004_3C66B
dw0222p4242    NGC891   35.7298  42.7123  19.78 0.09 >22.04      GI2_019004_3C66B
dw0239p3926    NGC1023  39.8325  39.4339 >20.05      >19.98      AIS_59_1_64
dw0239p3903    NGC1023  39.8432  39.0554 >21.43      >21.03      AIS_59_1_64
dw0239p3902    NGC1023  39.9460  39.0473 >23.24      >22.78      NGA_NGC1023
UGC2157        NGC1023  40.1044  38.5630  17.13 0.05  17.72 0.09 AIS_59_1_74
dw0240p3854    NGC1023  40.1374  38.9004  18.82 0.05  19.18 0.05 NGA_NGC1023
dw0240p3903    NGC1023  40.1544  39.0593  16.55 0.05  17.83 0.05 NGA_NGC1023
dw0240p3922    NGC1023  40.1649  39.3792  18.23 0.05  19.05 0.06 NGA_NGC1023
dw0241p3904    NGC1023  40.2512  39.0727  18.73 0.06  20.28 0.20 NGA_NGC1023
UGC2165        NGC1023  40.3145  38.7441  18.32 0.05  20.69 0.37 NGA_NGC1023
dw0242p3838    NGC1023  40.6028  38.6352 >22.81      >23.04      NGA_NGC1023
dw0309m4104    NGC1291  47.3549 -41.0826  22.92 0.57 >23.33      GI1_047015_ESO300_G014
dw0309m4101    NGC1291  47.4093 -41.0312  14.74 0.05  15.07 0.05 GI1_047015_ESO300_G014
dw0310m4000    NGC1291  47.5432 -40.0035  17.22 0.05  17.41 0.05 GI1_009006_NGC1249
dw0315m4040    NGC1291  48.7908 -40.6674  21.95 0.52 >22.33      NGA_NGC1291
dw0317m4142    NGC1291  49.2560 -41.7001  20.36 0.10  22.34 0.66 NGA_NGC1291
dw0317m4058    NGC1291  49.3725 -40.9728  21.40 0.66 >22.12      NGA_NGC1291
dw0317m4141    NGC1291  49.4083 -41.6962  20.17 0.17 >22.00      NGA_NGC1291
dw0318m4101    NGC1291  49.6796 -41.0240  22.13 0.19 >23.40      NGA_NGC1291
dw0318m4211    NGC1291  49.6961 -42.1993 >22.15      >22.10      AIS_424_1_02
dw0319m4126    NGC1291  49.9305 -41.4480  20.20 0.09  21.52 0.44 NGA_NGC1291
dw0320m4048    NGC1291  50.1412 -40.8048 >21.25      >21.35      AIS_424_1_01
dw0321m4159    NGC1291  50.3521 -41.9982  18.53 0.08  18.94 0.14 AIS_424_1_07
dw0323m4040    NGC1291  50.8173 -40.6777  19.74 0.12 >21.68      AIS_424_1_01
dw0325m4113    NGC1291  51.4098 -41.2304 >21.03      >21.13      AIS_424_1_06
dw0506m3739    NGC1808  76.6002 -37.6499  23.55 0.55 >23.39      LGAL_NGC1808
dw0507m3629    NGC1808  76.7765 -36.4834 >21.65      >21.60      AIS_414_1_21
dw0507m3739    NGC1808  76.8530 -37.6518  22.58 0.69 >22.59      LGAL_NGC1808
dw0507m3744    NGC1808  76.9674 -37.7385  20.59 0.05  23.11 0.43 LGAL_NGC1808
dw0507m3800    NGC1808  76.9808 -38.0125  20.97 0.05  21.70 0.14 LGAL_NGC1808
dw0508m3818    NGC1808  77.0318 -38.3098  14.16 0.05  14.66 0.10 GI1_009064_HPJ0508m38
dw0508m3617    NGC1808  77.1269 -36.2869 >22.06      >21.66      AIS_414_1_21
dw0508m3808    NGC1808  77.1369 -38.1405  20.58 0.05  22.92 0.46 GI1_009064_HPJ0508m38
NGC1827        NGC1808  77.5208 -36.9611  14.48 0.05  15.24 0.05 GI2_121004_LGG127_POS2
dw0848p3226    NGC2683 132.1660  32.4442  22.11 0.54 >22.71      MISGCSAN_04470_1209
dw0852p3347    NGC2683 133.2006  33.7990  18.45 0.05  18.98 0.08 GI4_095011_NGC2683
dw0853p3318    NGC2683 133.3617  33.3052  20.56 0.08  21.12 0.13 GI4_095011_NGC2683
dw0855p3336    NGC2683 133.7936  33.6155 >22.79      >22.74      GI4_095011_NGC2683
dw0855p3333    NGC2683 133.8454  33.5572  19.90 0.10 >21.82      GI4_095011_NGC2683
dw0856p3155    NGC2683 134.1080  31.9172 >21.42      >21.90      AIS_215_1_36
dw0929p2213    NGC2903 142.4777  22.2181 >22.14      >22.59      AIS_192_1_40
dw0930p1959    NGC2903 142.5540  19.9913  18.64 0.05  19.16 0.10 AIS_192_1_58
dw0930p2143    NGC2903 142.6666  21.7240  20.35 0.12  20.63 0.21 AIS_192_1_40
dw0932p1952    NGC2903 143.0991  19.8754 >21.63      >21.53      AIS_192_1_57
UGC5086        NGC2903 143.2034  21.4656  19.87 0.07  22.04 0.46 NGA_NGC2903
dw0933p2030    NGC2903 143.3069  20.5152  20.20 0.17  21.32 0.62 AIS_192_1_51
dw0936p2135    NGC2903 144.0891  21.5993  20.51 0.06  21.05 0.10 NGA_LSBC_F565
NGC2976        M81     146.8146  67.9164  12.84 0.05  13.28 0.05 NGA_NGC2976
