M33            M31      23.4583  30.6603 205.8                              -18.84 0.10  9.51 0.22 25.46 0.60               False True  1.00      MCCONN
NGC205         M31      10.0917  41.6853   8.3                              -16.48 0.10  8.78 0.22 19.20        589.7  24.0 True  True  1.00      MCCONN
M32            M31      10.6708  40.8653   5.5                              -16.43 0.10  8.76 0.22 11.10        110.1  11.7 True  True  1.00      MCCONN
NGC147         M31       8.3000  48.5089 101.8                              -14.65 0.10  8.01 0.22 21.20        623.4       True  True  1.00      MCCONN
IC10           M31       5.0708  59.3039 259.0                              -15.00 0.20  7.83 0.22 24.60 0.20   612.3       False True  1.00      MCCONN
NGC185         M31       9.7417  48.3375  97.1                              -14.75 0.10  8.05 0.22 20.80        457.4       True  True  1.00      MCCONN
andVII         M31     351.6292  50.6758 226.1                              -13.21 0.30  7.39 0.22 23.20 0.20   775.9  22.2 True  True  1.00      MCCONN
andXXXII       M31       8.9975  51.5597 142.5                              -12.25 0.70  6.98 0.22 26.40 0.80  1467.7 271.0 True  True  1.00      MCCONN
andII          M31      19.1242  33.4192 142.0                              -12.57 0.20  7.12 0.22 24.50 0.20  1175.2  37.9 True  True  1.00      MCCONN
andI           M31      11.4158  38.0411  44.7                              -11.86 0.10  6.81 0.22 24.70 0.20   671.6  65.0 True  True  1.00      MCCONN
andXXXI        M31     344.5679  41.2911 277.0                              -11.70 0.70  6.74 0.22 25.80 0.80   926.8  88.3 True  True  1.00      MCCONN
andIII         M31       8.8908  36.4978  67.8                              -10.17 0.30  6.08 0.22 24.80 0.20   478.8  43.5 True  True  1.00      MCCONN
andXXIII       M31      22.3408  38.7189 127.4                              -10.23 0.50  6.11 0.22 28.00 0.50  1029.2  44.7 True  True  1.00      MCCONN
andVI          M31     357.9429  24.5825 280.3                              -11.47 0.20  6.64 0.22 24.10 0.20   524.1  45.6 True  True  1.00      MCCONN
andXXI         M31     358.6987  42.4708 123.5                               -9.79 0.60  5.92 0.22 27.00 0.40   842.9  72.3 True  True  1.00      MCCONN
andXXV         M31       7.5371  46.8519  82.3                               -9.75 0.50  5.90 0.22 27.10 0.50   709.3  47.3 True  True  1.00      MCCONN
LGS3           M31      15.9792  21.8850 282.2                              -10.13 0.10  5.57 0.22 24.80 0.10   469.8  44.7 False True  1.00      MCCONN
andXV          M31      18.5779  38.1175  93.6                               -9.38 0.30  5.74 0.22 24.80 0.40   220.0   9.1 True  True  1.00      MCCONN
andV           M31      17.5713  47.6281 110.1                               -9.54 0.20  5.81 0.22 25.30 0.20   314.7  45.0 True  True  1.00      MCCONN
andXVIII       M31       0.5604  45.0889 113.8                               -9.42       5.75 0.22 25.60        324.7  21.2 True  True  1.00      MCCONN
NGC247         NGC253   11.7834 -20.7570 282.2  9.44 0.08  8.96 0.09 -18.31 -18.60 0.09  9.41 0.13 21.27 0.11  4278.3 199.3 False True  1.00 gr   DECALS
dw0047m2623    NGC253   11.8939 -26.3898  68.5 18.89 0.11 18.33 0.11  -8.86  -9.19 0.11  5.77 0.14 26.59 0.15   453.9  39.8 True  True  1.00 gr   DECALS
dw0049m2100    NGC253   12.4537 -21.0167 267.9 15.07 0.09 14.89 0.09 -12.69 -12.79 0.09  6.62 0.13 23.20 0.11   627.1  31.8 False True  1.00 gr   DECALS
dw0050m2444    NGC253   12.5749 -24.7367  51.7 18.22 0.10 17.95 0.10  -9.53  -9.70 0.10  5.53 0.13 27.91 0.13  1539.2 115.0 True  True  1.00 gr   DECALS
dw0055m2309    NGC253   13.7538 -23.1688 169.0 17.49 0.09 17.14 0.10 -10.26 -10.47 0.10  5.95 0.13 23.75 0.12   279.1  18.1 False True  1.00 gr   DECALS
dw0036m2828    NGC253    9.1273 -28.4701 250.4 18.67 0.11 18.47 0.11  -9.08  -9.21 0.11  5.23 0.13 24.39 0.14   311.7  25.8 False False 0.05 gr   DECALS
dw0132p1422    NGC628   23.2486  14.3736 284.7 16.05 0.09 15.85 0.09 -13.90 -14.02 0.09  7.14 0.13 22.02 0.11   715.4  38.7 False True  1.00 gr   DECALS
dw0133p1543    NGC628   23.4842  15.7314 113.5 19.94 0.14 19.38 0.13 -10.01 -10.34 0.14  6.22 0.15 23.93 0.20   214.4  25.6 True  True  1.00 gr   DECALS
dw0134p1544    NGC628   23.5537  15.7463 102.0 17.57 0.10 17.07 0.10 -12.38 -12.68 0.10  7.07 0.13 24.00 0.12  1078.1  65.9 True  True  1.00 gr   DECALS
dw0134p1438    NGC628   23.6741  14.6444 210.9 17.06 0.09 16.86 0.10 -12.89 -13.01 0.09  6.74 0.13 21.73 0.12   497.9  30.2 False True  1.00 gr   DECALS
dw0136p1628    NGC628   24.0842  16.4701 118.0 17.75 0.10 17.19 0.10 -12.20 -12.52 0.10  7.10 0.13 22.50 0.13   336.7  22.6 True  True  1.00 gr   DECALS
dw0137p1537    NGC628   24.3236  15.6329  35.5 17.86 0.10 17.24 0.10 -12.09 -12.45 0.10  7.18 0.13 22.59 0.13   380.2  26.4 True  True  1.00 gr   DECALS
dw0137p1607    NGC628   24.4156  16.1320  71.5 20.20 0.14 19.57 0.13  -9.75 -10.12 0.15  6.24 0.16 25.96 0.21   489.2  64.2 True  True  1.00 gr   DECALS
dw0138p1458    NGC628   24.5024  14.9825 146.9 16.98 0.09 16.61 0.09 -12.97 -13.19 0.09  7.06 0.13 22.42 0.12   349.5  21.0 False True  1.00 gr   DECALS
UGC1171        NGC628   24.9366  15.8993 126.7 15.71 0.09 15.45 0.09 -14.24 -14.40 0.09  7.38 0.13 22.36 0.11   840.5  44.3 False True  1.00 gr   DECALS
dw0139p1433    NGC628   24.9611  14.5563 246.2 17.89 0.10 17.59 0.10 -12.06 -12.24 0.10  6.59 0.13 22.25 0.13   258.9  18.1 False True  1.00 gr   DECALS
dw0140p1556    NGC628   25.0395  15.9394 144.5 18.64 0.11 18.47 0.11 -11.31 -11.41 0.11  6.05 0.13 24.03 0.14   449.5  36.9 False True  1.00 gr   DECALS
UGC1176        NGC628   25.0430  15.9054 144.1 14.24 0.09 13.86 0.09 -15.71 -15.93 0.09  8.18 0.13 23.44 0.11  2350.7 115.3 False True  1.00 gr   DECALS
dw0143p1541    NGC628   25.9012  15.6937 284.0 15.75 0.09 15.35 0.09 -14.20 -14.44 0.09  7.62 0.13 24.46 0.11  1437.6  76.0 False True  1.00 gr   DECALS
dw0141p1651    NGC628   25.4173  16.8721 275.5 18.14 0.10 17.68 0.10 -11.81 -12.08 0.10  6.77 0.13 23.06 0.13   473.4  34.7 False False 0.30 gr   DECALS
dw0221p4221    NGC891   35.3010  42.3640  39.9 17.28 0.09 16.79 0.10 -12.52 -12.80 0.10  7.11 0.13 22.58 0.12   513.0  31.9 True  True  1.00 gr   CFHT
UGC1807        NGC891   35.3058  42.7629  76.6 13.86 0.09 13.52 0.09 -15.94 -16.14 0.09  8.20 0.12 21.48 0.11  1617.4  78.5 False True  1.00 gr   CFHT
dw0222p4242    NGC891   35.7298  42.7123  58.8 17.13 0.09 16.76 0.10 -12.67 -12.89 0.10  6.96 0.13 24.50 0.12  1138.2  69.6 True  True  1.00 gr   CFHT
dw0223p4314    NGC891   35.8921  43.2395 144.8 19.36 0.12 18.96 0.12 -10.44 -10.67 0.12  6.11 0.14 23.44 0.17   193.6  19.3 True  False 0.15 gr   CFHT
dw0224p4158    NGC891   36.0968  41.9747  80.4 20.49 0.16 20.09 0.16  -9.31  -9.54 0.16  5.66 0.18 24.41 0.23   165.6  23.9 True  False 0.20 gr   CFHT
dw0225p4153    NGC891   36.3192  41.8915 108.4 20.53 0.16 20.13 0.16  -9.27  -9.51 0.17  5.65 0.18 24.78 0.24   175.3  25.5 True  False 0.45 gr   CFHT
dw0226p4206    NGC891   36.6690  42.1111 127.2 20.44 0.16 20.04 0.16  -9.36  -9.60 0.16  5.68 0.17 24.01 0.23   150.3  21.3 True  False 0.10 gr   CFHT
dw0235p3850    NGC1023  38.9760  38.8362 164.0 16.82 0.15 16.21 0.14 -13.27 -13.51 0.15  7.25 0.12 21.18 0.10   532.8  86.4 False True  1.00 gi   CFHT
IC239          NGC1023  39.1162  38.9690 139.8                              -19.10       9.32                               False True  1.00
dw0237p3855    NGC1023  39.3276  38.9331 111.5 15.24 0.10 14.54 0.11 -14.84 -15.12 0.10  8.00 0.11 21.39 0.16   926.2  96.5 False True  1.00 gi   CFHT      yes
dw0237p3836    NGC1023  39.4144  38.6003 128.3 18.20 0.17 17.56 0.16 -11.89 -12.13 0.17  6.74 0.12 23.85 0.13   547.9  63.0 True  True  1.00 gi   CFHT
dw0239p3926    NGC1023  39.8325  39.4339  77.1 18.21 0.14 17.59 0.14 -11.87 -12.11 0.14  6.72 0.12 26.17 0.10  1129.4 103.8 True  True  1.00 gi   CFHT
dw0239p3903    NGC1023  39.8432  39.0554  36.2 20.62 0.49 20.05 0.34  -9.47  -9.69 0.49  5.69 0.16 25.06 0.28   335.5  44.0 True  True  1.00 gi   CFHT
dw0239p3902    NGC1023  39.9460  39.0473  21.9 20.58 0.09 19.76 0.08  -9.51  -9.82 0.09  6.03 0.15 24.72 0.07   284.5  15.8 True  True  1.00 gi   CFHT
UGC2157        NGC1023  40.1044  38.5630  90.8 14.24 0.03 13.59 0.03 -15.84 -16.11 0.03  8.35 0.10 21.17 0.08  1519.9  41.6 False True  1.00 gi   CFHT
dw0240p3854    NGC1023  40.1374  38.9004  30.0 16.78 0.03 16.37 0.04 -13.30 -13.47 0.03  7.01 0.10 21.09 0.03   318.8   3.3 False True  1.00 gi   CFHT
dw0240p3903    NGC1023  40.1544  39.0593   7.7 14.91 0.09 12.23 0.09 -15.18 -15.48 0.09  8.21 0.12 21.97 0.09  2047.4   0.1 False True  1.00 gi   CFHT      yes
dw0240p3922    NGC1023  40.1649  39.3792  58.1 16.68 0.07 16.43 0.08 -13.41 -13.52 0.07  6.84 0.11 22.45 0.05   642.2  53.4 False True  1.00 gi   CFHT      yes
dw0241p3904    NGC1023  40.2512  39.0727  21.4 15.56 0.03 15.15 0.03 -14.53 -14.69 0.03  7.49 0.10 22.64 0.02   980.6  25.9 False True  1.00 gi   CFHT      yes
UGC2165        NGC1023  40.3145  38.7441  65.4 14.04 0.04 13.15 0.04 -16.05 -16.38 0.04  8.72 0.12 21.05 0.01  1484.5  40.3 True  True  1.00 gi   CFHT
dw0242p3838    NGC1023  40.6028  38.6352 105.3 20.60 0.17 20.62 0.19  -9.49  -9.48 0.17  4.93 0.16 25.51 0.17   259.9   0.2 True  True  1.00 gi   CFHT      yes
dw0238p3805    NGC1023  39.6703  38.0849 187.8 16.89 0.07 16.37 0.06 -13.19 -13.41 0.07  7.11 0.11 23.08 0.21   614.7  27.5 False False 0.90 gi   CFHT      yes
dw0241p3829    NGC1023  40.4758  38.4983 115.5 19.71 0.13 19.14 0.14 -10.38 -10.61 0.13  6.04 0.12 23.86 0.05   260.6  30.1 True  False 0.35 gi   CFHT
dw0243p3915    NGC1023  40.9790  39.2557 128.5 19.13 0.14 18.37 0.15 -10.96 -11.26 0.14  6.52 0.13 22.36 0.29   255.7  43.5 True  False 0.05 gi   CFHT
dw0309m4104    NGC1291  47.3549 -41.0826 235.7 19.19 0.12 18.64 0.11 -10.60 -10.92 0.12  6.44 0.14 24.25 0.16   365.0  34.7 True  True  1.00 gr   DECALS
