0266-51630-100 1.5533 0.0327 7.84 0.02 -1.62 0.03 -0.85 0.04 -1.68 0.04 -2.40 0.04 -3.57 0.17 -1.93 0.14
0267-51608-384 1.2055 0.0600 7.99 0.05 -1.30 0.07 -0.55 0.10 -1.71 0.11 -2.43 0.07  0.00 0.00 -1.69 0.21
0270-51909-306 0.9444 0.1699 8.33 0.20 -1.09 0.26 -0.77 0.41 -1.67 0.33  0.00 0.00  0.00 0.00  0.00 0.00
0272-51941-365 1.0133 0.1661 8.38 0.18 -1.40 0.23 -0.65 0.36 -1.60 0.29 -2.50 0.22  0.00 0.00 -2.32 0.80
0275-51910-429 1.5117 0.0513 7.82 0.03 -1.45 0.05 -0.72 0.06 -1.73 0.10 -2.37 0.05 -3.06 0.16  0.00 0.00
0275-51910-445 1.1254 0.0249 8.23 0.02 -1.33 0.03 -0.75 0.05 -1.70 0.05 -2.46 0.05 -3.50 0.12 -1.84 0.09
0276-51909-197 0.9917 0.0906 8.38 0.10 -1.39 0.13 -0.67 0.20 -1.71 0.17 -2.47 0.13 -3.74 0.58 -2.26 0.40
0279-51984-293 0.9457 0.1446 8.43 0.17 -1.37 0.22 -0.68 0.35 -1.60 0.27 -2.51 0.22  0.00 0.00 -2.06 0.46
0282-51658-029 0.9312 0.1383 8.40 0.17 -1.16 0.21 -0.64 0.35 -1.72 0.27 -2.44 0.21  0.00 0.00 -2.01 0.37
0284-51943-007 0.9882 0.1349 8.41 0.15 -1.28 0.19 -0.61 0.32 -1.76 0.23 -2.56 0.19  0.00 0.00 -1.98 0.30
0284-51943-170 1.5842 0.0466 7.81 0.03 -1.49 0.05 -0.71 0.05 -1.64 0.07 -2.31 0.07  0.00 0.00  0.00 0.00
0287-52023-236 1.0482 0.1580 8.25 0.16 -1.20 0.20 -0.69 0.33 -1.75 0.25 -2.37 0.20  0.00 0.00 -2.09 0.46
0287-52023-466 1.1777 0.0667 8.19 0.06 -1.46 0.08 -0.73 0.11 -1.85 0.17 -2.55 0.18  0.00 0.00 -1.90 0.37
0289-51990-210 1.6212 0.0497 7.77 0.03 -1.50 0.05 -0.73 0.05 -1.74 0.08 -2.35 0.05  0.00 0.00  0.00 0.00
0289-51990-369 1.3195 0.0653 8.01 0.05 -1.56 0.07 -0.73 0.09 -1.71 0.14 -2.41 0.07  0.00 0.00 -1.79 0.27
0294-51986-334 1.2152 0.0480 8.02 0.04 -1.42 0.06 -0.80 0.08 -1.42 0.07 -2.23 0.05  0.00 0.00  0.00 0.00
0301-51942-345 0.9918 0.0997 8.29 0.11 -1.17 0.14 -0.84 0.23 -1.64 0.17 -2.38 0.14 -3.36 0.26 -2.24 0.33
0301-51942-360 1.3698 0.0888 7.97 0.06 -1.48 0.08 -0.71 0.12 -1.60 0.15 -2.36 0.17  0.00 0.00 -1.92 0.50
0305-51613-604 1.2583 0.0360 8.15 0.03 -1.61 0.05 -0.87 0.06 -1.65 0.07 -2.46 0.07 -3.36 0.18 -2.14 0.35
0308-51662-081 1.3126 0.0273 8.06 0.02 -1.35 0.04 -0.80 0.04 -1.54 0.05 -2.37 0.05 -3.54 0.20 -1.57 0.12
0308-51662-326 1.2027 0.0700 8.05 0.06 -1.36 0.08 -0.75 0.11 -1.62 0.11 -2.34 0.07 -3.27 0.24  0.00 0.00
0309-51994-288 1.2012 0.0630 8.12 0.05 -1.51 0.07 -0.72 0.10 -1.64 0.11 -2.41 0.07  0.00 0.00 -1.82 0.26
0312-51689-508 1.1433 0.0730 8.18 0.06 -1.38 0.08 -0.74 0.13 -1.77 0.14 -2.46 0.08 -3.57 0.47 -2.27 0.58
0329-52056-529 1.3234 0.0901 7.94 0.07 -1.28 0.09 -0.49 0.12 -1.70 0.16 -2.48 0.09  0.00 0.00 -1.41 0.25
0329-52056-633 1.4540 0.0281 7.80 0.02 -1.49 0.03 -0.72 0.04 -1.71 0.04 -2.58 0.05 -3.55 0.13 -1.87 0.13
0329-52056-640 1.6199 0.0304 7.81 0.02  0.00 0.00 -0.85 0.03  0.00 0.00 -2.65 0.05 -3.65 0.14 -2.03 0.20
0334-51993-065 1.3152 0.2174 7.91 0.15 -1.17 0.19 -0.79 0.32 -1.49 0.28 -2.28 0.19  0.00 0.00  0.00 0.00
0334-51993-365 1.3271 0.0852 7.91 0.06 -1.46 0.08 -0.75 0.12 -1.60 0.14 -2.32 0.08  0.00 0.00  0.00 0.00
0335-52000-385 1.3154 0.0628 8.02 0.05 -1.43 0.06 -0.70 0.09 -1.61 0.11 -2.30 0.06  0.00 0.00  0.00 0.00
0336-51999-289 1.6363 0.0599 7.68 0.04 -1.39 0.06 -0.77 0.06  0.00 0.00 -2.25 0.09  0.00 0.00 -1.82 0.54
0336-51999-414 1.1070 0.1981 8.19 0.18 -1.36 0.23 -0.69 0.37 -1.55 0.28 -2.36 0.22  0.00 0.00 -1.87 0.44
0337-51997-097 1.3548 0.0202 8.04 0.02 -0.98 0.02 -0.78 0.03 -1.53 0.03 -2.31 0.03 -3.50 0.07 -1.58 0.05
0337-51997-284 1.4065 0.5897 7.23 0.35  0.01 0.48  0.00 0.00  0.00 0.00 -1.84 0.43  0.00 0.00  0.00 0.00
0339-51692-083 1.0975 0.0405 8.15 0.04 -1.43 0.05 -0.60 0.08 -1.68 0.07 -2.50 0.05 -3.33 0.14 -2.35 0.47
0340-51990-181 1.2247 0.1108 7.96 0.09 -1.14 0.11 -0.65 0.18 -1.52 0.15 -2.29 0.11  0.00 0.00 -1.82 0.38
0341-51690-606 1.7397 0.0511 7.78 0.03 -1.63 0.11 -0.85 0.05 -1.73 0.11 -2.39 0.12 -3.35 0.21 -1.60 0.51
